,GELID,lat,lon,dep,e,n,z,azi1,dip1,sig1,azi2,dip2,sig2,azi3,dip3,sig3,NP,NS,CLID,LT,ML,SEDID,DateTime,Mw
55,Main01353,47.58551,7.59444,4321,58.6,-64.5,-33.0,54.0,-4.3,3.5,322.0,-25.2,8.0,153.0,-64.4,12.9,4,5,CL030,DG,,------,2006-12-03 21:30:19,0.5
56,Main01359,47.58647,7.59365,4439,-1.0,42.1,85.0,249.2,9.1,3.3,158.6,3.5,8.3,47.6,80.2,9.0,6,6,CL076,DG,,------,2006-12-03 21:53:48,0.8
57,Main01364,47.58573,7.59405,4278,29.2,-40.1,-76.0,59.1,-14.5,13.5,312.1,-48.5,22.2,160.7,-37.8,31.0,58,57,CL140,DD,,------,2006-12-03 22:06:42,1.1
58,Main01366,47.5855,7.5942300000000005,4311,42.8,-65.6,-43.0,28.7,-0.0,3.5,298.7,26.8,5.5,298.6,-63.2,7.2,4,4,CL362,DG,,------,2006-12-03 22:17:08,0.4
59,Main01369,47.58549,7.594539999999999,4324,66.2,-66.7,-30.0,54.3,-4.2,3.5,322.7,-21.4,7.4,154.8,-68.1,13.5,4,5,CL030,DG,,------,2006-12-03 22:24:26,0.7
60,Main01370,47.58559,7.594189999999999,4318,39.8,-55.6,-36.0,62.1,-6.5,15.4,71.3,-7.1,25.3,114.1,80.3,28.5,29,51,CL362,DD,,------,2006-12-03 22:24:41,0.8
61,Main01374,47.58593,7.59335,4398,-23.5,-18.0,44.0,54.1,-6.9,2.8,145.1,-8.7,4.0,286.0,-78.9,4.9,6,6,CL005,DG,,------,2006-12-03 22:30:06,1.0
62,Main01393,47.587070000000004,7.592410000000001,4193,-94.4,108.7,-161.0,52.9,-9.6,15.2,308.4,-56.2,23.3,149.0,-32.1,37.4,50,43,CL045,DD,,------,2006-12-03 23:27:12,0.9
63,Main01399,47.58636,7.59333,4332,-25.1,29.9,-22.0,32.4,12.3,31.6,138.4,18.0,47.3,355.0,68.0,55.0,66,67,---,DD,1.0,SED006,2006-12-03 23:45:51,1.5
64,Main01403,47.5861,7.593260000000001,4277,-30.3,0.9,-77.0,61.0,-10.7,2.8,338.9,36.0,6.2,317.1,-51.9,7.6,6,6,CL066,DG,,------,2006-12-03 23:53:37,0.6
